receptor	isoform_id	number_of_transcripts	transcripts	topological_annotation	number_of_tissues	tissues	varying_segments	functional_annotation	reference (PMID)	ProteomicsDBID	ProteomicsDBlink
NPY1R	4	1	ENST00000504790	truncated	5	Breast, Prostate, Skin, Blood Vessel, Spleen	TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
NPY1R	5	1	ENST00000515701	truncated	20	Breast, Testis, Brain, Pituitary, Skin, Nerve, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Uterus, Heart, Spleen, Ovary, Kidney	TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
OGR1	1	1	ENST00000238699	preserved	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
OGR1	2	1	ENST00000529102	preserved	16	Breast, Brain, Prostate, Pituitary, Skin, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Stomach, Heart, Vagina, Spleen	C-term	Altered signalling properties / Altered internalisation	0	0	0
OPN3	1	1	ENST00000331838	truncated	13	Brain, Skin, Nerve, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Blood, Vagina, Spleen, Ovary	TM3, ICL2, TM4, ECL2, TM5	0	0	0	0
OPN4	1	1	ENST00000372071	truncated	13	Breast, Muscle, Brain, Pituitary, Skin, Nerve, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Salivary Gland, Esophagus, Blood Vessel	TM1	Altered internalisation	0	0	0
OPN5	1	1	ENST00000489301	preserved	1	Testis	C-term	Altered signalling properties / Altered internalisation	0	D6RDV4	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/D6RDV4/summary
OPN5	2	1	ENST00000393699	preserved	1	Testis	C-term	Altered signalling properties / Altered internalisation	0	0	0
OPRK	1	1	ENST00000524278	truncated	1	Testis	N-term, TM1, ICL1	Altered ligand binding / efficacy	0	0	0
OPRM	1	1	ENST00000229768	preserved	1	Testis	C-term	Altered signalling properties	26529364	0	0
OPRM	2	1	ENST00000518759	truncated	1	Testis	N-term, TM1	0	0	0	0
OPRM	3	1	ENST00000522555	truncated	2	Testis, Brain	N-term, TM1, ICL1	Altered ligand binding / efficacy	26976581	0	0
OXGR1	1	1	ENST00000541518	truncated	3	Skin, Lung, Blood Vessel	TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
OXGR1	2	1	ENST00000541038	truncated	6	Breast, Skin, Adipose Tissue, Thyroid, Salivary Gland, Blood Vessel	ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
OXYR	1	1	ENST00000431493	truncated	5	Breast, Skin, Esophagus, Blood Vessel, Uterus	TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
P2RY6	1	1	ENST00000535931	truncated	17	Muscle, Prostate, Pituitary, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Stomach, Heart, Vagina, Spleen, Liver, Ovary	TM6, ECL3, TM7, H8, C-term	Intracellular retention of reference isoform	0	0	0
P2RY6	2	1	ENST00000544437	truncated	2	Breast, Spleen	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
P2Y14	1	1	ENST00000494668	truncated	18	Breast, Muscle, Brain, Pituitary, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Blood, Stomach, Uterus, Bladder, Cervix Uteri	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
PACR	1	1	ENST00000396211	truncated	9	Brain, Small Intestine, Adrenal Gland, Adipose Tissue, Colon, Esophagus, Stomach, Fallopian Tube, Ovary	TM6	Altered signalling properties	22284183	0	0
PACR	2	1	ENST00000409363	preserved	12	Breast, Brain, Pituitary, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Esophagus, Stomach, Fallopian Tube, Vagina, Ovary	N-term	Altered signalling properties	8703026	0	0
PD2R	1	1	ENST00000553372	truncated	9	Pituitary, Skin, Nerve, Adipose Tissue, Thyroid, Colon, Blood Vessel, Blood, Uterus	TM6, ECL3, TM7, H8, C-term	Intracellular retention of reference isoform	0	0	0
PE2R2	1	1	ENST00000557436	truncated	20	Breast, Prostate, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Esophagus, Blood Vessel, Blood, Stomach, Uterus, Vagina, Bladder, Spleen, Ovary, Cervix Uteri	N-term, TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6	0	0	0	0
PE2R3	1	1	ENST00000354608	preserved	8	Breast, Skin, Small Intestine, Adipose Tissue, Colon, Blood Vessel, Uterus, Kidney	H8, C-term	Altered signalling properties	0	0	0
PE2R3	2	1	ENST00000370924	preserved	26	Breast, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Ovary, Kidney, Cervix Uteri	H8, C-term	Altered signalling properties	7476918	0	0
PE2R3	3	1	ENST00000460330	preserved	23	Breast, Testis, Prostate, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Vagina, Bladder, Ovary, Kidney, Cervix Uteri	H8, C-term	Altered signalling properties	7476918	0	0
PE2R3	4	1	ENST00000370932	preserved	21	Breast, Prostate, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Vagina, Bladder, Ovary, Kidney	H8, C-term	Altered signalling properties	0	0	0
PF2R	1	1	ENST00000370756	truncated	19	Breast, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Ovary	TM6, ECL3, TM7, H8, C-term	Intracellular retention of reference isoform	0	0	0
PTH1R	1	1	ENST00000427125	preserved	12	Prostate, Skin, Adipose Tissue, Colon, Lung, Esophagus, Blood Vessel, Uterus, Vagina, Spleen, Ovary, Kidney	C-term	Altered signalling properties / Altered internalisation	0	0	0
RAI3	1	1	ENST00000534831	preserved	29	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Liver, Ovary, Kidney, Cervix Uteri	H8, C-term	Altered signalling properties	0	0	0
RXFP2	1	1	ENST00000380314	preserved	7	Breast, Nerve, Adipose Tissue, Thyroid, Fallopian Tube, Uterus, Ovary	N-term	Altered ligand binding / efficacy	0	0	0
SSR2	1	1	ENST00000315332	preserved	8	Testis, Brain, Pituitary, Skin, Nerve, Adipose Tissue, Blood Vessel, Spleen	C-term	Altered signalling properties / Altered internalisation	0	0	0
SSR5	1	1	ENST00000562758	truncated	4	Pituitary, Adrenal Gland, Blood Vessel, Heart	TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
TA2R	1	1	ENST00000411851	preserved	23	Breast, Prostate, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	H8, C-term	Altered signalling properties	8613548	P21731-2	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/P21731-2/summary
TA2R	2	1	ENST00000589966	truncated	21	Breast, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Blood, Stomach, Uterus, Heart, Vagina, Spleen, Liver, Kidney	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
TA2R1	1	1	ENST00000514078	truncated	1	Testis	N-term, TM1, ICL1, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
TA2R1	2	1	ENST00000506620	truncated	1	Testis	N-term, TM1, ICL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
TPRA1	1	1	ENST00000296210	truncated	28	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Uterus, Heart, Vagina, Spleen, Liver, Ovary, Kidney, Cervix Uteri	TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	Q86W33-3	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/Q86W33-3/summary
TPRA1	2	1	ENST00000490290	truncated	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
TPRA1	3	1	ENST00000469111	truncated	6	Skin, Nerve, Adipose Tissue, Colon, Esophagus, Uterus	TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
TPRA1	4	1	ENST00000490643	truncated	3	Breast, Skin, Blood	TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
TPRA1	5	1	ENST00000462228	truncated	2	Testis, Blood	TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
TS1R1	1	1	ENST00000351136	preserved	3	Testis, Lung, Ovary	N-term	Altered ligand binding / efficacy	0	0	0
V1AR	1	1	ENST00000550940	truncated	21	Breast, Muscle, Prostate, Pituitary, Skin, Nerve, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Vagina, Spleen, Liver, Ovary, Cervix Uteri	N-term, TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, C-term	0	0	F8VW98	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/F8VW98/summary
V2R	1	1	ENST00000430697	truncated	5	Breast, Skin, Nerve, Adipose Tissue, Blood Vessel	TM6, ECL3, TM7, H8, C-term	Intracellular retention of reference isoform	0	0	0
V2R	2	1	ENST00000370049	truncated	10	Breast, Brain, Skin, Nerve, Adipose Tissue, Thyroid, Blood Vessel, Blood, Fallopian Tube, Uterus	TM7, H8, C-term	Intracellular retention of reference isoform	21534618	0	0
VIPR1	1	1	ENST00000439731	truncated	2	Brain, Lung	ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
VIPR2	1	1	ENST00000402066	preserved	22	Breast, Muscle, Testis, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adipose Tissue, Colon, Lung, Pancreas, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Ovary, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	C9JCP7	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/C9JCP7/summary
XCR1	1	1	ENST00000395946	truncated	1	Skin	TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
